"Chan","T2","Pvals","df1","df2","xpos","ypos","Pvals_cuts"
1,0.0327788070646887,0.00301394085562956,2,356,0.27061,0.25813,"<.005"
2,0.0701226336496379,5.05746039880517e-06,2,356,0.18883,0.2394,"<.0001"
3,0.0956568293655113,7.2800555139807e-08,2,356,0.11004,0.2174,"<.0001"
4,0.118984669431791,1.6481601639029e-09,2,356,0.073707,0.18359,"<.0001"
5,0.114610469952261,3.33290817167153e-09,2,356,0.035595,0.13683,"<.0001"
6,0.105419899508722,1.47691195939714e-08,2,356,-2.187e-17,0.089291,"<.0001"
7,0.0144009030497274,0.0762704764592619,2,356,-0.028292,0.036037,"ns"
8,0.0320709370018739,0.00340968477328851,2,356,0.15945,0.30209,"<.005"
9,0.0659533089202165,1.02065837236376e-05,2,356,0.083862,0.27643,"<.0001"
10,0.0593197101702568,3.13733339311062e-05,2,356,0.050145,0.23852,"<.0001"
11,0.136702879598188,9.78256364803087e-11,2,356,-4.8953e-17,0.19987,"<.0001"
12,0.118990646715363,1.64657809609281e-09,2,356,-0.035595,0.13683,"<.0001"
13,0.0642459896718525,1.36176810550115e-05,2,356,-0.058411,0.078036,"<.0001"
14,0.0393940588356335,0.000955444967845054,2,356,0.044058,0.32872,"<.001"
15,0.0747902944388397,2.3118360117369e-06,2,356,-6.9342e-17,0.28311,"<.0001"
16,0.108555124496145,8.87548257111348e-09,2,356,-6.0391e-17,0.24656,"<.0001"
17,0.0708544093808973,4.47232828792998e-06,2,356,-8.7824e-17,0.35857,"<.0001"
18,0.154313533541193,6.17073059316908e-12,2,356,-0.050145,0.23852,"<.0001"
19,0.143956564422184,3.11799475127827e-11,2,356,-0.073707,0.18359,"<.0001"
20,0.164125393887068,1.34803279649987e-12,2,356,-0.097709,0.1308,"<.0001"
21,0.0789149648580679,1.16083465928618e-06,2,356,-0.044058,0.32872,"<.0001"
22,0.0881906416950454,2.48972291228e-07,2,356,-0.083862,0.27643,"<.0001"
23,0.123186679888201,8.40135072621706e-10,2,356,-0.11004,0.2174,"<.0001"
24,0.104913328299938,1.60379263203225e-08,2,356,-0.12335,0.16655,"<.0001"
25,0.0973045812494315,5.55616463948638e-08,2,356,-0.15945,0.30209,"<.0001"
26,0.0621999174497542,1.9250381236624e-05,2,356,-0.18883,0.2394,"<.0001"
27,0.0555534536814964,5.95413684831847e-05,2,356,-0.1756,0.16852,"<.0001"
28,0.0913688435644714,1.47360202928937e-07,2,356,-0.15612,0.11703,"<.0001"
29,0.0663613408921737,9.52759839145667e-06,2,356,-0.12367,0.07006,"<.0001"
30,0.00364929208012536,0.519097516131905,2,356,-0.089234,0.023191,"ns"
31,0.0300449799225549,0.00485586745682487,2,356,-0.044495,-0.015575,"<.005"
32,0.0643947120865903,1.32796642213773e-05,2,356,-0.27061,0.25813,"<.0001"
33,0.0617022595927815,2.09434989643098e-05,2,356,-0.27006,0.17418,"<.0001"
34,0.0318410347979506,0.00354914535514639,2,356,-0.22865,0.099464,"<.005"
35,0.0159316922296795,0.0581430232344327,2,356,-0.1832,0.042556,"ns"
36,2.28910792933154e-05,0.99588813039778,2,356,-0.14086,0.0073253,"ns"
37,0.0856201588538002,3.8094373921993e-07,2,356,-0.091723,-0.035635,"<.0001"
38,0.0867894941857423,3.13891812542266e-07,2,356,-0.34659,0.19108,"<.0001"
39,0.0251418005851326,0.0114593206547696,2,356,-0.33383,0.039461,"<.05"
40,0.00332054094088005,0.550627841986694,2,356,-0.25598,0.0011134,"ns"
41,0.0276074339341634,0.00743738017084383,2,356,-0.19461,-0.022574,"<.01"
42,0.121976046814096,1.01988328893299e-09,2,356,-0.15112,-0.059346,"<.0001"
43,0.0646423828676069,1.2735375278683e-05,2,356,-0.41311,0.15319,"<.0001"
44,0.0498698361008855,0.00015726809898331,2,356,-0.39898,0.074566,"<.0005"
45,0.00128257354540326,0.793966782320787,2,356,-0.31837,-0.081339,"ns"
46,0.0356462563885425,0.00183009345363372,2,356,-0.24052,-0.075603,"<.005"
47,0.134936660811264,1.29374955193384e-10,2,356,-0.19145,-0.085584,"<.0001"
48,0.0487448397012119,0.000190725266911329,2,356,-0.45895,0.17222,"<.0005"
49,0.0628475739018576,1.72512600319363e-05,2,356,-0.46317,0.03064,"<.0001"
50,0.055585787409049,5.92141729442996e-05,2,356,-0.27341,-0.16219,"<.0001"
51,0.240433162257724,0,2,356,-0.20096,-0.14301,"<.0001"
52,0.30047186942457,0,2,356,-0.15394,-0.11866,"<.0001"
53,0.225882498049966,1.11022302462516e-16,2,356,-0.099452,-0.09574,"<.0001"
54,0.145739757391467,2.35660380099034e-11,2,356,-0.050987,-0.076676,"<.0001"
55,0.0606644724147915,2.49717661040538e-05,2,356,5.8045e-18,-0.047397,"<.0001"
56,0.00627416399740926,0.324398710369543,2,356,-0.41976,-0.1671,"ns"
57,0.0269497259937748,0.00834554641229812,2,356,-0.33631,-0.19112,"<.01"
58,0.212970500711343,8.88178419700125e-16,2,356,-0.22492,-0.21452,"<.0001"
59,0.368670695140707,0,2,356,-0.15297,-0.18922,"<.0001"
60,0.273524027219677,0,2,356,-0.10478,-0.15427,"<.0001"
61,0.151217821758466,9.99889060437908e-12,2,356,-0.054807,-0.12811,"<.0001"
62,0.065325639164659,1.13473135177067e-05,2,356,1.1987e-17,-0.097882,"<.0001"
63,0.00141993612767669,0.774602580971581,2,356,-0.349,-0.28153,"ns"
64,0.0540098763137751,7.74731516832716e-05,2,356,-0.25813,-0.2804,"<.0001"
65,0.202459823157926,3.99680288865056e-15,2,356,-0.16624,-0.26054,"<.0001"
66,0.277026154777955,0,2,356,-0.10296,-0.21873,"<.0001"
67,0.168281271311498,7.105427357601e-13,2,356,-0.04676,-0.18643,"<.0001"
68,0.00116798309039735,0.810492737934462,2,356,-0.22108,-0.37388,"ns"
69,0.00753499415673331,0.258940290815348,2,356,-0.1585,-0.34149,"ns"
70,0.0391305547969082,0.00100004136509968,2,356,-0.093018,-0.29235,"<.005"
71,0.0962906429903277,6.5610118227255e-08,2,356,-0.039316,-0.23611,"<.0001"
72,0.069738246053136,5.39506443908433e-06,2,356,2.5091e-17,-0.20489,"<.0001"
73,0.013885697165313,0.0835725687570696,2,356,-0.10679,-0.41491,"ns"
74,0.0199857074931618,0.0283945697986265,2,356,-0.049033,-0.36828,"<.05"
75,0.000300648737866409,0.947329270215405,2,356,3.6897e-17,-0.30129,"ns"
76,0.0365489355264746,0.00156456372931135,2,356,0.039316,-0.23611,"<.005"
77,0.0947346101912988,8.47025988237604e-08,2,356,0.04676,-0.18643,"<.0001"
78,0.118373534311746,1.81825388079204e-09,2,356,0.054807,-0.12811,"<.0001"
79,0.041248504373225,0.000693293996089306,2,356,0.050987,-0.076676,"<.001"
80,0.0435409723230641,0.000466740310939739,2,356,0.044495,-0.015575,"<.0005"
81,0.0224760950972133,0.0183082129805524,2,356,5.188e-17,-0.42363,"<.05"
82,0.0255405317688489,0.0106848310213745,2,356,0.049033,-0.36828,"<.05"
83,0.0184236392493259,0.0374128337042285,2,356,0.093018,-0.29235,"<.05"
84,0.149619883007955,1.28345112315742e-11,2,356,0.10296,-0.21873,"<.0001"
85,0.15434672573701,6.13886719236234e-12,2,356,0.10478,-0.15427,"<.0001"
86,0.161048133143424,2.16904272321017e-12,2,356,0.099452,-0.09574,"<.0001"
87,0.0704435384146735,4.79193621727436e-06,2,356,0.091723,-0.035635,"<.0001"
88,0.0245399086900671,0.0127367199016321,2,356,0.10679,-0.41491,"<.05"
89,0.000845481197483406,0.858883839034337,2,356,0.1585,-0.34149,"ns"
90,0.0453687550205345,0.000340673931214841,2,356,0.16624,-0.26054,"<.0005"
91,0.139597508413589,6.19310158711528e-11,2,356,0.15297,-0.18922,"<.0001"
92,0.229347250762483,0,2,356,0.15394,-0.11866,"<.0001"
93,0.100201061118544,3.45865245332533e-08,2,356,0.15112,-0.059346,"<.0001"
94,0.0131457357859655,0.0953078820007192,2,356,0.22108,-0.37388,"ns"
95,0.0194731057536,0.0310830107968803,2,356,0.25813,-0.2804,"<.05"
96,0.0931661193357932,1.09615526877604e-07,2,356,0.22492,-0.21452,"<.0001"
97,0.246622945603307,0,2,356,0.20096,-0.14301,"<.0001"
98,0.153814320992398,6.66955379813317e-12,2,356,0.19145,-0.085584,"<.0001"
99,0.00218771438523262,0.674790071032434,2,356,0.349,-0.28153,"ns"
100,0.0116993322473247,0.123252511816444,2,356,0.33631,-0.19112,"ns"
101,0.0820135328030288,6.93062154999424e-07,2,356,0.27341,-0.16219,"<.0001"
102,0.0378609397019978,0.001246088122688,2,356,0.24052,-0.075603,"<.005"
103,0.0360893710752854,0.00169451762663519,2,356,0.19461,-0.022574,"<.005"
104,0.00278159955816893,0.606539722977076,2,356,0.14086,0.0073253,"ns"
105,0.00623970282151338,0.326404482881136,2,356,0.089234,0.023191,"ns"
106,0.0146658942952205,0.0727681496461852,2,356,0.028292,0.036037,"ns"
107,0.0025594938251368,0.631211872694188,2,356,0.41976,-0.1671,"ns"
108,0.0174712125290905,0.0442738698204559,2,356,0.31837,-0.081339,"<.05"
109,0.00583025471949911,0.351212328652925,2,356,0.25598,0.0011134,"ns"
110,0.00286036036525877,0.598025624627391,2,356,0.1832,0.042556,"ns"
111,0.0309472256039676,0.00414806532725254,2,356,0.12367,0.07006,"<.005"
112,0.0778878135448871,1.3777407465998e-06,2,356,0.058411,0.078036,"<.0001"
113,0.0475561504991046,0.000233892959093485,2,356,0.46317,0.03064,"<.0005"
114,0.00463914190320464,0.434702697248287,2,356,0.39898,0.074566,"ns"
115,0.0102519290171165,0.159478309464222,2,356,0.33383,0.039461,"ns"
116,0.0269149173571569,0.00839660510189932,2,356,0.22865,0.099464,"<.01"
117,0.0467073013039449,0.000270617239720661,2,356,0.15612,0.11703,"<.0005"
118,0.0944101903678219,8.93395841750078e-08,2,356,0.097709,0.1308,"<.0001"
119,0.0293555577935833,0.00547759056198371,2,356,0.45895,0.17222,"<.01"
120,0.0475199155419192,0.00023535304448119,2,356,0.41311,0.15319,"<.0005"
121,0.043863791239911,0.000441476547710651,2,356,0.34659,0.19108,"<.0005"
122,0.0497238971983136,0.000161250909328725,2,356,0.27006,0.17418,"<.0005"
123,0.0684469969511254,6.70417625536768e-06,2,356,0.1756,0.16852,"<.0001"
124,0.0799391658678034,9.78719282507257e-07,2,356,0.12335,0.16655,"<.0001"
125,0.0257654157208556,0.0102714632118684,2,356,0.3348,0.24755,"<.05"
126,0.0338821194231695,0.00248712557981912,2,356,0.22208,0.39445,"<.005"
127,0.0615555705475928,2.14705733205811e-05,2,356,-0.22208,0.39445,"<.0001"
128,0.0712317044622504,4.19774709603526e-06,2,356,-0.3348,0.24755,"<.0001"
